x,y_d_0025_c_0,y_d_0025_c_001,y_d_005_c_0,y_d_005_c_001
0.19,0.0,0.0,0.0,0.0
0.1902,0.0,0.0,0.0,0.0
0.1904,0.0,0.0,0.0,0.0
0.1906,0.0,0.0,0.0,0.0
0.1908,0.0,0.0,0.0,0.0
0.191,0.0,0.0,0.0,0.0
0.1912,0.0,0.0,0.0,0.0
0.19140000000000001,0.0,0.0,0.0,0.0
0.1916,0.0,0.0,0.0,0.0
0.1918,0.0,0.0,0.0,0.0
0.192,0.0,0.0,0.0,0.0
0.1922,0.0,0.0,0.0,0.0
0.19240000000000002,0.0,0.0,0.0,0.0
0.1926,0.0,0.0,0.0,0.0
0.1928,0.0,0.0,0.0,0.0
0.193,-3.195771201172286,0.0,0.0,0.0
0.1932,-19.17436956852119,-3.772139629574962,0.0,0.0
0.19340000000000002,-35.15296793587007,-21.777384267102644,0.0,-3.700661655491825
0.1936,-51.13156630321675,-39.78262890462789,0.0,-29.096745826286053
0.1938,-67.11016467056564,-57.78787354215558,0.0,-54.49282999708384
0.194,-83.08876303791453,-75.79311817968329,0.0,-79.88891416788162
0.1942,-99.06736140526341,-93.798362817211,0.0,-105.28499833867942
0.1944,-115.04595977261009,-111.80360745473618,0.0,-130.68108250947367
0.1946,-131.024558139959,-129.8088520922639,0.0,-156.07716668027143
0.1948,-147.0031565073079,-147.81409672979157,0.0,-181.47325085106922
0.195,-162.9817548746568,-165.81934136731928,0.0,-206.86933502186702
0.1952,-178.96035324200565,-183.824586004847,0.0,-232.26541919266478
0.1954,-194.93895160935233,-201.82983064237217,0.0,-257.661503363459
0.1956,-329.553025237296,-243.1761713082968,0.0,-283.05758753425687
0.1958,-522.5643186690776,-357.43046895705993,-75.93795507842826,-355.2782657717138
0.196,-715.5756121008593,-471.68476660582286,-211.92508924889748,-479.96123482674574
0.1962,-908.5869055326407,-585.9390642545859,-347.9122234193668,-604.6442038817776
0.1964,-1101.5981989643958,-700.1933619033331,-483.8993575898172,-729.3271729367921
0.1966,-1294.6094923961773,-814.4476595520962,-619.8864917602865,-854.0101419918237
0.1968,-1487.6207858279593,-928.7019572008593,-873.2781206538966,-978.6931110468554
0.197,-1680.6320792597405,-1042.9562548496222,-1958.9928020066754,-1103.3760801018875
0.19720000000000001,-1873.643372691522,-1157.2105524983854,-3044.7074833594543,-1228.059049156919
0.1974,-2066.654666123277,-1271.4648501471324,-4130.422164712083,-1352.7420182119336
0.1976,-2453.27267235599,-1350.6823625920883,-5003.305686838918,-1429.871122324819
0.1978,-3033.4973913896906,-1394.8630898332265,-5663.358049739747,-1459.4463614955453
0.198,-3613.7221104233945,-1439.0438170743653,-6323.410412640575,-1489.0216006662715
0.19820000000000002,-4193.946829457102,-1483.2245443155039,-6983.462775541403,-1518.5968398369978
0.1984,-4774.171548490732,-1527.4052715566359,-7643.515138442141,-1548.1720790077195
0.1986,-5354.396267524446,-1571.5859987977742,58854.58555264386,-1577.747318178445
0.1988,9713.54017037407,-1615.7667260389119,124052.0426294212,-1607.322557349171
0.199,53946.18003861031,-1659.9474532800493,19164.64597143287,-1636.8977965198967
0.1992,-22719.279766620388,-1701.554082835129,-155727.70558732934,-1666.4730356906182
0.1994,-140912.4542284482,-1700.5719903444751,-300545.11321288557,-1696.048274861344
0.1996,-221262.95833002072,-1699.5898978538207,-315207.6780713139,-1725.6235140320694
0.1998,-184400.4070543639,-1698.6078053631666,-99635.5013284054,-1755.198753202795
0.2,49045.58461556172,-1697.6257128725122,446251.31584376213,-1784.7739923735203
0.2002,-185144.94978430765,-1696.6436203818585,-1057723.0859802375,-1814.3492315442415
0.2004,-197452.0074514599,-1695.6615278912043,-1638853.9601354084,-1757.1721505696855
0.2006,-92666.9603213618,-1694.6794354005501,-1556108.9233873393,-1698.60528857842
0.2008,24418.81967033249,-1681.1619207942904,-1068455.5925064294,-1640.0384265871544
0.201,49013.960587925205,-1635.5966884000122,-434861.5842614983,-1581.4715645958893
0.2012,-5306.268484651986,-1590.0314560057395,85705.4845772922,-1522.9047026046317
0.2014,-4811.430582609503,-1544.4662236114611,234277.99724035675,-1464.337840613366
0.2016,-4316.592680567018,-1498.9009912171816,-8767.026035892297,-1405.7709786221003
0.2018,-3821.75477852453,-1453.3357588229023,-7623.1517933618725,-1347.2041166308352
0.202,-3326.916876482039,-1407.770526428623,-6479.277550831449,-1288.6372546395696
0.2022,-2832.078974439613,-1362.20529403435,-5335.403308301185,-1230.070392648312
0.2024,-2337.241072397114,-1316.6400616400706,-4191.52906577076,-1171.503530657047
0.2026,-1992.6490062723374,-1248.5621993628884,-3265.2087177842914,-1096.1309883649387
0.2028,-1798.30277606533,-1157.9717072027963,-2556.442264341843,-1003.9527657719825
0.203,-1603.9565458583215,-1067.381215042704,-1847.6758108993945,-911.7745431790264
0.2032,-1409.6103156513411,-976.7907228826248,-1138.9093574570445,-819.5963205860832
0.2034,-1215.264085444333,-886.2002307225325,-855.6041640114759,-727.4180979931269
0.2036,-1020.9178552373254,-795.6097385624407,-689.9073026751637,-635.2398754001711
0.2038,-826.5716250303176,-705.0192464023485,-524.2104413388516,-543.0616528072148
0.20400000000000001,-632.2253948233098,-614.4287542422567,-358.51358000253964,-450.8834302142587
0.2042,-437.8791646163289,-523.838262082177,-192.81671866625055,-358.7052076213154
0.2044,-243.53293440932111,-433.24776992208496,-27.119857329938462,-266.5269850283594
0.2046,-180.68297540811022,-342.6572777619929,0.0,-174.34876243540324
0.2048,-165.37161713905718,-252.06678560190068,0.0,-138.13832278986274
0.20500000000000002,-150.06025887000416,-161.47629344180865,0.0,-126.45788025116003
0.2052,-134.74890060095325,-148.55818996646525,0.0,-114.77743771245892
0.2054,-119.4375423319002,-135.64008649112006,0.0,-103.09699517375618
0.2056,-104.12618406284717,-122.72198301577487,0.0,-91.41655263505346
0.2058,-88.81482579379413,-109.80387954042968,0.0,-79.73611009635073
0.20600000000000002,-73.5034675247411,-96.88577606508447,0.0,-68.05566755764801
0.2062,-58.192109255690184,-83.96767258974107,0.0,-56.37522501894689
0.2064,-42.880750986637146,-71.04956911439588,0.0,-44.694782480244164
0.2066,-27.56939271758411,-58.13146563905068,0.0,-33.01433994154144
0.2068,-12.258034448531074,-45.2133621637055,0.0,-21.33389740283871
0.20700000000000002,0.0,-32.2952586883603,0.0,-9.65345486413598
0.2072,0.0,-19.377155213016895,0.0,0.0
0.2074,0.0,-6.459051737671701,0.0,0.0
0.2076,0.0,0.0,0.0,0.0
0.2078,0.0,0.0,0.0,0.0
0.20800000000000002,0.0,0.0,0.0,0.0
0.2082,0.0,0.0,0.0,0.0
0.2084,0.0,0.0,0.0,0.0
0.2086,0.0,0.0,0.0,0.0
0.2088,0.0,0.0,0.0,0.0
0.209,0.0,0.0,0.0,0.0
0.2092,0.0,0.0,0.0,0.0
0.2094,0.0,0.0,0.0,0.0
0.2096,0.0,0.0,0.0,0.0
0.20980000000000001,0.0,0.0,0.0,0.0
0.21,0.0,0.0,0.0,0.0
